type,ident,Latitude,Longitude,Zone,Boundary,Waterbody,Exclude
WAYPOINT,SFR0206,29.93215,-82.8099,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0207,29.93236667,-82.81041667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0208,29.93268333,-82.80906667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0209,29.93286667,-82.80958333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0210,29.9329,-82.80808333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0211,29.93325,-82.80865,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0212,29.93271667,-82.80706667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0213,29.93331667,-82.8077,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0214,29.93235,-82.80611667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0215,29.9331,-82.8067,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0216,29.9319,-82.80523333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0217,29.9327,-82.80576667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0218,29.93141667,-82.80436667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0219,29.9322,-82.8049,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0220,29.93085,-82.80355,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0221,29.93165,-82.80408333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0222,29.93085,-82.80255,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0223,29.9312,-82.80321667,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0224,29.93145,-82.80178333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0225,29.93156667,-82.80233333,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0227,29.93215,-82.80155,4,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0228,29.93195,-82.80093333,3,TRUE,Santa Fe River,FALSE
WAYPOINT,SFR0229,29.93241667,-82.80058333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0230,29.93196667,-82.79991667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0231,29.93238333,-82.79955,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0232,29.93208333,-82.79888333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0233,29.93266667,-82.79863333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0234,29.93256667,-82.79801667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0235,29.93308333,-82.79773333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0236,29.93275,-82.79703333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0237,29.93315,-82.79671667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0238,29.93231667,-82.79615,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0239,29.93266667,-82.79586667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0240,29.93165,-82.79545,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0241,29.93196667,-82.7952,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0242,29.93128333,-82.79451667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0243,29.93166667,-82.79428333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0244,29.93151667,-82.79356667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0245,29.93231667,-82.7937,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0246,29.9323,-82.79318333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0247,29.93321667,-82.79366667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0248,29.9332,-82.79326667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0249,29.9341,-82.7935,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0250,29.93405,-82.79301667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0251,29.93486667,-82.79296667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0252,29.93483333,-82.7925,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0253,29.9355,-82.79223333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0254,29.93535,-82.79165,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0255,29.93581667,-82.79128333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0256,29.9349,-82.79088333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0257,29.93543333,-82.79041667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0258,29.93408333,-82.79046667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0259,29.93466667,-82.78996667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0260,29.9333,-82.79001667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0261,29.93395,-82.78956667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0262,29.93251667,-82.78951667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0263,29.93308333,-82.78935,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0264,29.93231667,-82.78858333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0265,29.93281667,-82.78843333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0266,29.93248333,-82.78756667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0267,29.93298333,-82.78741667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0268,29.93291667,-82.78665,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0269,29.93341667,-82.78651667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0270,29.93318333,-82.78568333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0271,29.93358333,-82.7855,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0272,29.9332,-82.78465,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0273,29.93355,-82.78448333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0274,29.9325,-82.78403333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0275,29.933,-82.78368333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0276,29.93163333,-82.78385,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0277,29.93215,-82.78338333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0278,29.93075,-82.78376667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0279,29.93125,-82.78335,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0280,29.92988333,-82.78348333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0281,29.93036667,-82.78316667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0282,29.92908333,-82.78303333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0283,29.92953333,-82.78278333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0284,29.92835,-82.78241667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0285,29.92878333,-82.78221667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0286,29.92765,-82.78176667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0287,29.92806667,-82.7816,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0288,29.9268,-82.78146667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0289,29.92728333,-82.78113333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0290,29.92598333,-82.78108333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0291,29.9264,-82.7809,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0292,29.9258,-82.78013333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0293,29.92625,-82.77998333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0294,29.92621667,-82.77926667,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0295,29.92688333,-82.77925,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0296,29.92693333,-82.77863333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0297,29.92755,-82.77855,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0298,29.92708333,-82.77773333,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0299,29.92761667,-82.7776,3,FALSE,Santa Fe River,FALSE
WAYPOINT,SFR0300,29.9267,-82.7768,3,FALSE,Santa Fe River,FALSE
