ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
11,29.50546173,-82.21358478,0,2019-10-02T17:12:29Z,,,Or_11,X: -82.21358479&lt;br&gt;Y: 29.50546175,X: -82.21358479&lt;br&gt;Y: 29.50546175,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
12,29.5017089,-82.21698465,0,2019-10-02T17:12:29Z,,,Or_12,X: -82.21698469&lt;br&gt;Y: 29.50170893,X: -82.21698469&lt;br&gt;Y: 29.50170893,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
13,29.49735786,-82.21893562,0,2019-10-02T17:12:29Z,,,Or_13,X: -82.21893566&lt;br&gt;Y: 29.49735789,X: -82.21893566&lt;br&gt;Y: 29.49735789,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
14,29.49397702,-82.21866388,0,2019-10-02T17:12:29Z,,,Or_14,X: -82.21866389&lt;br&gt;Y: 29.49397703,X: -82.21866389&lt;br&gt;Y: 29.49397703,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
15,29.48830406,-82.21533827,0,2019-10-02T17:12:29Z,,,Or_15,X: -82.21533831&lt;br&gt;Y: 29.48830403,X: -82.21533831&lt;br&gt;Y: 29.48830403,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
16,29.48474343,-82.21217721,0,2019-10-02T17:12:29Z,,,Or_16,X: -82.21217721&lt;br&gt;Y: 29.48474342,X: -82.21217721&lt;br&gt;Y: 29.48474342,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
17,29.48109839,-82.2064988,0,2019-10-02T17:12:29Z,,,Or_17,X: -82.20649878&lt;br&gt;Y: 29.48109839,X: -82.20649878&lt;br&gt;Y: 29.48109839,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
18,29.47595534,-82.20518737,0,2019-10-02T17:12:29Z,,,Or_18,X: -82.2051874&lt;br&gt;Y: 29.47595532,X: -82.2051874&lt;br&gt;Y: 29.47595532,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
19,29.47156649,-82.20136514,0,2019-10-02T17:12:29Z,,,Or_19,X: -82.20136512&lt;br&gt;Y: 29.47156651,X: -82.20136512&lt;br&gt;Y: 29.47156651,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
20,29.46681689,-82.19753,0,2019-10-02T17:12:29Z,,,Or_20,X: -82.19753003&lt;br&gt;Y: 29.4668169,X: -82.19753003&lt;br&gt;Y: 29.4668169,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
21,29.46405656,-82.19195989,0,2019-10-02T17:12:29Z,,,Or_21,X: -82.19195993&lt;br&gt;Y: 29.46405658,X: -82.19195993&lt;br&gt;Y: 29.46405658,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
22,29.4593414,-82.18805342,0,2019-10-02T17:12:29Z,,,Or_22,X: -82.1880534&lt;br&gt;Y: 29.45934141,X: -82.1880534&lt;br&gt;Y: 29.45934141,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
23,29.45271542,-82.18891734,0,2019-10-02T17:12:29Z,,,Or_23,X: -82.18891733&lt;br&gt;Y: 29.4527154,X: -82.18891733&lt;br&gt;Y: 29.4527154,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
24,29.4520794,-82.19541801,0,2019-10-02T17:12:29Z,,,Or_24,X: -82.195418&lt;br&gt;Y: 29.4520794,X: -82.195418&lt;br&gt;Y: 29.4520794,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
25,29.45432081,-82.20109432,0,2019-10-02T17:12:29Z,,,Or_25,X: -82.20109432&lt;br&gt;Y: 29.45432077,X: -82.20109432&lt;br&gt;Y: 29.45432077,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
26,29.4503213,-82.20599279,0,2019-10-02T17:12:29Z,,,Or_26,X: -82.20599275&lt;br&gt;Y: 29.45032132,X: -82.20599275&lt;br&gt;Y: 29.45032132,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
27,29.45152209,-82.20848054,0,2019-10-02T17:12:29Z,,,Or_27,X: -82.2084805&lt;br&gt;Y: 29.45152205,X: -82.2084805&lt;br&gt;Y: 29.45152205,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
28,29.44724631,-82.21096544,0,2019-10-02T17:12:29Z,,,Or_28,X: -82.21096547&lt;br&gt;Y: 29.44724635,X: -82.21096547&lt;br&gt;Y: 29.44724635,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
29,29.44267885,-82.20714916,0,2019-10-02T17:12:29Z,,,Or_29,X: -82.20714915&lt;br&gt;Y: 29.44267887,X: -82.20714915&lt;br&gt;Y: 29.44267887,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
30,29.43626753,-82.20743573,0,2019-10-02T17:12:29Z,,,Or_30,X: -82.20743572&lt;br&gt;Y: 29.43626751,X: -82.20743572&lt;br&gt;Y: 29.43626751,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
31,29.4330462,-82.21071297,0,2019-10-02T17:12:29Z,,,Or_31,X: -82.21071301&lt;br&gt;Y: 29.43304616,X: -82.21071301&lt;br&gt;Y: 29.43304616,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
32,29.42810096,-82.20791107,0,2019-10-02T17:12:29Z,,,Or_32,X: -82.20791111&lt;br&gt;Y: 29.42810096,X: -82.20791111&lt;br&gt;Y: 29.42810096,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
33,29.42642575,-82.20176043,0,2019-10-02T17:12:29Z,,,Or_33,X: -82.20176039&lt;br&gt;Y: 29.42642574,X: -82.20176039&lt;br&gt;Y: 29.42642574,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
34,29.42394781,-82.19613458,0,2019-10-02T17:12:29Z,,,Or_34,X: -82.19613456&lt;br&gt;Y: 29.42394785,X: -82.19613456&lt;br&gt;Y: 29.42394785,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
35,29.42286495,-82.19025677,0,2019-10-02T17:12:29Z,,,Or_35,X: -82.19025678&lt;br&gt;Y: 29.42286495,X: -82.19025678&lt;br&gt;Y: 29.42286495,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
36,29.42696085,-82.18478012,0,2019-10-02T17:12:29Z,,,Or_36,X: -82.18478013&lt;br&gt;Y: 29.42696084,X: -82.18478013&lt;br&gt;Y: 29.42696084,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
37,29.4290249,-82.18342627,0,2019-10-02T17:12:29Z,,,Or_37,X: -82.18342629&lt;br&gt;Y: 29.42902487,X: -82.18342629&lt;br&gt;Y: 29.42902487,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2019-10-02T17:12:29Z
